fid,name,latitude,longitude,gebied,domeinen,website,koepels,initiatief_type,location_type
1,KeileCollectief,51.9081824825262,4.43320700481179,Nieuw Mathenesse,Circulair,https://www.keilecollectief.nl/,,plek,point
2,Katoenhuis,51.907310409874,4.43116690978969,Nieuw Mathenesse,Cultuur,https://www.katoenhuis.nl/,,plek,point
3,Kunst & Complex,51.9085331297601,4.43048548933977,Nieuw Mathenesse,Cultuur,https://m4hrotterdam.nl/projecten/kunst-complex/,,plek,point
4,Brutus,51.9089565616213,4.43113079268265,Nieuw Mathenesse,Cultuur,https://brutus.nl/,,plek,point
5,Voedseltuin Rotterdam (M4H),51.9084683439982,4.43247160092112,Nieuw Mathenesse,Groen; Voedsel,https://voedseltuin.com/,Groen010,plek,point
6,Buurttuin Dakpark Rotterdam,51.9078494039784,4.4393330660188,Bospolder,Groen,https://www.dakparkrotterdam.nl/,De Groene Connectie; Groen010,plek,point
7,Materiaalhub M4H,51.909351397244,4.43323803121141,Nieuw Mathenesse,Circulair,,,plek,point
8,Getijdenpark Keilehaven,51.9080794403811,4.43109492117194,Nieuw Mathenesse,Groen,https://m4hrotterdam.nl/projecten/keilehaven/,,plek,point
9,Stadspark West,51.9310378650882,4.4494290711767,Delfshaven; Landzicht; Zestienhoven; Blijdorpsepolder; Overschie; Nieuwe Westen; Blijdorp; Spangen,Groen,https://stadsparkwest.nl/,De Groene Connectie; Groen010,wijk,area
10,Stichting Art is Home,51.894180271837,4.50944678620909,Hillesluis,Cultuur,https://artishome.org/nl,,plek,point
11,Stichting Schiezicht,51.9138232295695,4.4449438653345,Delfshaven,Welzijn,https://www.schiezicht.com/,,plek,point
12,TEX - Het Textielatelier,51.9116381954212,4.4424595039278,Bospolder; Tussendijken,Circulair,https://rotterdamcirculair.nl/agenda/het-textielatelier,Rotterdam Circulair,plek,point
13,Stichting Rijnmond Multicultureel Centrum,51.9078612022286,4.44247344729122,Delfshaven,Welzijn,https://www.wijkconnect.com/rotterdam/delfshaven/organisaties/1947/stichting-rijnmond-multicultureel-centrum,,plek,
14,Het Bollenpandje,51.9092289829257,4.44416226166616,Bospolder; Tussendijken,Welzijn; Circulair,https://www.wijkconnect.com/rotterdam/delfshaven/organisaties/2558/zelfregie-huis-delfshaven,,plek,point
15,Weggeefwinkel Yess!,51.9099137986551,4.44209301750824,Bospolder; Tussendijken,Circulair,https://yess.nu/,,plek,point
16,Doorgeefwinkel GoedGoed,51.911343304897,4.44283370294243,Bospolder; Tussendijken,Circulair,https://zwerfierotterdam.nl/2024/10/26/zwerfie-opent-doorgeefwinkel-goedgoed/,Rotterdam Circulair,plek,point
17,Huis van de Toekomst BoTu,51.9124138035445,4.44286586106206,Bospolder; Tussendijken,Energie; Wonen; Welzijn,https://www.huisvandetoekomst.org/,Energie van Rotterdam,plek,point
19,Stichting Open Haard,51.9159581252949,4.43812770813124,Spangen,Welzijn,https://stichtingopenhaard.nl,,plek,point
20,Bouwkeet,51.9116395409823,4.43765420012976,Delfshaven,Cultuur,https://bouwkeet.org/,,plek,point
21,Speel-o-theek Klein Duimpje,51.9107541970484,4.44470405033789,Bospolder; Tussendijken,Circulair,https://delfshavenlokaal.nl/,Rotterdam Circulair,plek,point
22,Stichting de Veerkrachtige Gemeenschap,51.909274257306,4.44418863412528,Bospolder; Tussendijken,Welzijn,https://veerkrachtigegemeenschap.org/,Welzijnscoalitie Delfshaven,plek,point
23,Opknapstation,51.9142548264782,4.42212373229032,Oud Mathenesse,Circulair,https://rotterdamcirculair.nl/agenda/opknapstation-naaicafe,Rotterdam Circulair,plek,point
24,De Groene Garage,51.916464741685,4.43965640856816,Spangen,Cultuur; Welzijn; Voedsel,https://www.de-groene-garage.nl/,,plek,point
25,Stichting Jeugdactiviteiten,51.9190980654426,4.41789316180902,Oud Mathenesse,Welzijn,https://www.stichtingjeugdactiviteiten.nl/,Welzijnscoalitie Delfshaven,plek,point
26,Speeltuin Confetti,51.9131376829347,4.45185409084674,Nieuw Mathenesse,Groen,https://speeltuin-confetti.jouwweb.nl/,,plek,point
27,The NiteShop,51.9101994277639,4.44330855906163,Delfshaven,Cultuur,https://theniteshop.com/,,plek,point
28,Stichting Kledingbank Rotterdam,51.9045016189665,4.45350899801389,Delfshaven,Circulair,https://www.kledingbank-rotterdam.nl/,,plek,point
29,Kinderatelier Punt 5,51.9104195491864,4.44828581213952,Delfshaven,Cultuur; Circulair,https://www.kinderatelierpunt5.nl/,,plek,point
30,Het BuurtAtelier,51.9124434217841,4.46083083973667,Middelland,Cultuur; Circulair,https://hetbuurtatelier.nl/,,plek,point
31,Essenburgpark,51.9221846294489,4.44795801572829,Middelland,Groen,https://essenburgpark.nl,De Groene Connectie; Groen010,plek,point
32,Wijkpaleis,51.914847093425,4.45822636200672,Middelland,Cultuur; Welzijn,https://www.wijkpaleis.nl/,Welzijnscoalitie Delfshaven,plek,point
33,Stichting Pluspunt,51.913494178945,4.44808496486402,Nieuwe Westen,Circulair; Welzijn,https://www.pluspuntrotterdam.info/,Rotterdam Circulair,plek,point
34,Stichting Gezana,51.9176890464227,4.45212373532596,Nieuwe Westen,Welzijn,https://www.stichtinggezana.nl/,,plek,point
35,Leespaleis de Pupillen,51.9107131991872,4.45076152371345,Nieuwe Westen,Welzijn,https://leespaleis.nl/,,plek,point
36,Tuin de Bajonet,51.9159477493365,4.46414250871967,Oude Westen,Groen,https://www.tuindebajonet.nl/,Groen010,plek,point
37,Het Lab Rotterdam,51.9029727538833,4.44923355268963,Schiemond,Circulair; Cultuur,https://hetlabrotterdam.nl,Rotterdam Circulair,plek,point
38,Tuin op de Pier,51.901662041492,4.46045653481401,Schiemond,Groen,https://www.tuinopdepier.nl/,Groen010,plek,point
39,Weggeefwinkel Delen is Helen,51.928,4.478,Agniesebuurt,Circulair,https://rotterdamcirculair.nl/actueel/niets-weggooien-de-weggeefwinkel-de-agniesebuurt-bewijst-dat-het-kan,Rotterdam Circulair,plek,point
40,Iedereen aan Boord (Ruilwinkel),51.913,4.495,Noordereiland,Circulair,https://www.iedereenaanboord.nu/,Rotterdam Circulair,wijk,point
41,Gouwe (kl)ouwe,51.8882992641509,4.48540266962276,Carnisse,Welzijn,https://www.instagram.com/gouwe.klouwe/,,plek,point
42,Het Platform: Katendrecht,51.9000550644364,4.48317157278269,Katendrecht,Welzijn,https://www.platformkatendrecht.nl/,,plek,point
43,Cultuurwerkplaats Tarwewijk,51.8945756636647,4.49313693288047,Tarwewijk,Welzijn; Circulair,https://cultuurwerkplaatstarwewijk.nl/,,plek,point
44,Leeszaal West,51.9164321462997,4.46647400861804,Oude Westen,Cultuur,https://leeszaalrotterdamwest.nl/,Welzijnscoalitie Delfshaven,plek,point
45,BlueCity,51.9198558580814,4.50087140777427,Struisenburg,Circulair,https://bluecity.nl/,Rotterdam Circulair,netwerk,point
46,Verhalenhuis Belvedere,51.9012430339169,4.48184583104646,Katendrecht,Cultuur,https://verhalenhuisrotterdam.nl/,,plek,point
47,Stadskwekerij - De KAS,51.9289541964231,4.45782032354285,Blijdorp,Groen,https://stadskwekerijdekas.nl/,Groen010,plek,point
48,City Forest Communities,51.8734784306663,4.46896299920583,Pendrecht,Groen,https://www.pinarbalat.com/city-forest-communities,Groen010,plek,area
49,Rotterdamse Munt,51.9086685512738,4.50560492891646,Rotterdam,Groen; Voedsel,https://www.rotterdamsemunt.nl/,Groen010,plek,point
50,Mobility Challenge Hoogkwartier,51.9200485143238,4.48704443660907,Stadsdriehoek,Mobiliteit,https://mchoogkwartier.nl/,,plek,area
51,Biobulkbende,51.91214160014,4.44260115012284,Rotterdam,Voedsel; Circulair,https://biobulkbende.org/,,plek,point
52,Mensa Mensa,51.8960958759871,4.506346015086,Rotterdam,Voedsel; Welzijn,https://mensa-mensa.nl/,,plek,point
53,Sponstuin,51.9092980574933,4.43439784239381,Nieuw Mathenesse,Voedsel; Groen,https://www.urbanisten.nl/work/sponge-garden-dhkxw,Rotterdams Weerwoord,plek,point
54,Nieuwe Instituut,51.9147129729395,4.47117576078415,Rotterdam,Cultuur,https://nieuweinstituut.nl/,,plek,point
55,Centraal Wonen De Banier,51.9298943008489,4.47369571037262,Agniesebuurt,Wonen,https://www.cwdebanier.nl/,RoCoCo; Energie van Rotterdam,plek,area
56,Centraal Wonen Zevenkamp,51.9691334218711,4.56836893659513,Zevenkamp,Wonen,https://cw7.nl/,RoCoCo,plek,area
